,회사명,기업공시코드,공시일,발행가(원),발행방법,주식종류,발행주식수,발행금액
218,명문제약,017180,2020-07-03,4305,유상증자(구주주배정),기명식 보통,7080000,30479400000
219,금호전기,001210,2020-06-25,3265,유상증자(제3자배정),기명식 보통,1715160,5599997400
220,메리츠증권,008560,2020-06-12,3410,유상증자(제3자배정),기명식 보통,58651026,199999998660
221,다이나믹디자인,145210,2020-06-05,500,유상증자(제3자배정),기명식 보통,1999980,999990000
222,신한알파리츠,293940,2020-06-04,5860,유상증자(구주주배정),기명식 보통,4700000,27542000000
223,보령,003850,2020-05-29,11700,유상증자(제3자배정),기명식 보통,3420000,40014000000
224,KR모터스,000040,2020-05-21,587,유상증자(구주주배정),기명식 보통,44300000,26004100000
225,주연테크,044380,2020-05-20,809,유상증자(제3자배정),기명식 보통,1236093,999999237
226,KH 필룩스,033180,2020-05-20,2660,유상증자(제3자배정),기명식 보통,3383459,9000000940
227,기업은행,024110,2020-05-15,7171,유상증자(제3자배정),기명식 보통,57523357,412499993047
228,비케이탑스,030790,2020-05-14,2569,유상증자(제3자배정),기명식 보통,4671077,11999996813
229,대양금속,009190,2020-05-11,1365,유상증자(제3자배정),기명식 보통,7326007,9999999555
230,기업은행,024110,2020-05-08,8986,유상증자(제3자배정),기명식 보통,29379034,263999999524
231,동부건설,005960,2020-05-04,5000,유상증자(제3자배정),기명식 보통,48562,242810000
232,금호건설,002990,2020-05-04,161000,유상증자(제3자배정),기명식 보통,598575,96370575000
233,씨아이테크,004920,2020-04-22,540,유상증자(제3자배정),기명식 보통,6000000,3240000000
234,다이나믹디자인,145210,2020-03-30,500,유상증자(제3자배정),기명식 보통,24200000,12100000000
235,HDC현대산업개발,294870,2020-03-23,14600,유상증자(구주주배정),기명식 보통,21969110,320749006000
236,콘텐트리중앙,036420,2020-03-19,39951,유상증자(제3자배정),기명식 보통,1978173,79029989523
237,센트랄모텍,308170,2020-03-17,6000,유상증자(제3자배정),기명식 보통,210000,1260000000
238,삼성제약,001360,2020-03-16,3913,유상증자(제3자배정),기명식 보통,2555583,9999996279
239,하나투어,039130,2020-03-12,55500,유상증자(제3자배정),기명식 보통,2323000,128926500000
240,국보,001140,2020-02-28,1805,유상증자(제3자배정),기명식 보통,443766,800997630
