,기업공시코드,시장
945,A051370,K
946,A051380,K
947,A051390,K
948,A051490,K
949,A051500,K
950,A051600,Y
951,A051630,Y
952,A051780,K
953,A051900,Y
954,A051910,Y
955,A051980,K
956,A052020,K
957,A052220,K
958,A052260,K
959,A052300,K
960,A052330,K
961,A052400,K
962,A052420,K
963,A052460,K
964,A052600,K
965,A052670,K
966,A052690,Y
967,A052710,K
968,A052770,K
969,A052790,K
970,A052860,K
971,A052900,K
972,A053030,K
973,A053050,K
974,A053060,K
975,A053080,K
976,A053160,K
977,A053210,Y
978,A053260,K
979,A053270,K
980,A053280,K
981,A053290,K
982,A053300,K
983,A053350,K
984,A053450,K
985,A053580,K
986,A053590,K
987,A053610,K
988,A053620,K
989,A053690,Y
990,A053700,K
991,A053800,K
992,A053950,K
993,A053980,K
994,A054040,K
995,A054050,K
996,A054090,K
997,A054180,K
998,A054210,K
999,A054220,K
1000,A054300,K
1001,A054410,K
1002,A054450,K
1003,A054540,K
1004,A054620,K
1005,A054630,K
1006,A054670,K
1007,A054780,K
1008,A054800,K
1009,A054920,K
1010,A054930,K
1011,A054940,K
1012,A054950,K
1013,A055490,Y
1014,A055550,Y
1015,A056000,K
1016,A056080,K
1017,A056090,K
1018,A056190,K
1019,A056360,K
1020,A056700,K
1021,A056730,K
1022,A057030,K
1023,A057050,Y
1024,A057540,K
1025,A057680,K
1026,A057880,K
1027,A058110,K
1028,A058220,K
1029,A058400,K
1030,A058420,K
1031,A058430,Y
1032,A058450,K
1033,A058470,K
1034,A058530,K
1035,A058610,K
1036,A058630,K
1037,A058650,Y
1038,A058730,Y
1039,A058820,K
1040,A058850,Y
1041,A058860,Y
1042,A058970,K
1043,A059090,K
1044,A059100,K
1045,A059120,K
1046,A059210,K
1047,A059270,K
1048,A060150,K
1049,A060230,K
1050,A060240,K
1051,A060250,K
1052,A060260,K
1053,A060280,K
1054,A060310,K
1055,A060370,K
1056,A060380,K
1057,A060480,K
1058,A060540,K
1059,A060560,K
1060,A060570,K
1061,A060590,K
1062,A060720,K
1063,A060850,K
1064,A060900,K
1065,A060980,Y
1066,A061040,K
1067,A061250,K
1068,A061970,K
1069,A062860,K
1070,A062970,K
1071,A063080,K
1072,A063160,Y
1073,A063170,K
1074,A063440,K
1075,A063570,K
1076,A063760,K
1077,A064090,K
1078,A064240,K
1079,A064260,K
1080,A064290,K
1081,A064350,Y
1082,A064480,K
1083,A064520,K
1084,A064550,K
1085,A064760,K
1086,A064800,K
1087,A064820,K
1088,A064850,K
1089,A064960,Y
1090,A065060,K
1091,A065130,K
1092,A065150,K
1093,A065170,K
1094,A065350,K
1095,A065370,K
1096,A065420,K
1097,A065440,K
1098,A065450,K
1099,A065500,K
1100,A065510,K
1101,A065530,K
1102,A065560,K
1103,A065570,K
1104,A065650,K
1105,A065660,K
1106,A065680,K
1107,A065690,K
1108,A065710,K
1109,A065770,K
1110,A065950,K
1111,A066130,K
1112,A066310,K
1113,A066360,K
1114,A066410,K
1115,A066430,K
1116,A066570,Y
1117,A066590,K
1118,A066620,K
1119,A066670,K
1120,A066700,K
1121,A066790,K
1122,A066900,K
1123,A066910,K
1124,A066970,K
1125,A066980,K
1126,A067000,K
1127,A067010,K
1128,A067080,K
1129,A067160,K
1130,A067170,K
1131,A067280,K
1132,A067290,K
1133,A067310,K
1134,A067370,K
1135,A067390,K
1136,A067570,K
1137,A067630,K
1138,A067730,K
1139,A067770,K
1140,A067830,Y
1141,A067900,K
1142,A067920,K
1143,A067990,K
1144,A068050,K
1145,A068240,K
1146,A068270,Y
1147,A068290,Y
1148,A068330,K
1149,A068400,Y
1150,A068760,K
1151,A068790,K
1152,A068930,K
1153,A068940,K
1154,A069080,K
1155,A069110,K
1156,A069140,K
1157,A069260,Y
1158,A069330,K
1159,A069410,K
1160,A069460,Y
1161,A069510,K
1162,A069540,K
1163,A069620,Y
1164,A069640,Y
1165,A069730,Y
1166,A069920,K
1167,A069960,Y
1168,A070300,K
1169,A070590,K
1170,A070960,Y
1171,A071050,Y
1172,A071090,Y
1173,A071200,K
1174,A071280,K
1175,A071320,Y
1176,A071460,K
1177,A071670,K
1178,A071840,Y
1179,A071850,K
1180,A071950,Y
1181,A071970,Y
1182,A072020,K
1183,A072130,Y
1184,A072470,K
1185,A072520,K
1186,A072710,Y
1187,A072770,K
1188,A072870,K
1189,A072950,K
1190,A072990,K
1191,A073010,K
1192,A073110,K
1193,A073190,K
1194,A073240,Y
1195,A073490,K
1196,A073540,K
1197,A073560,K
1198,A073570,K
1199,A073640,K
1200,A074430,K
1201,A074600,K
1202,A074610,Y
1203,A075130,K
1204,A075180,Y
1205,A075580,Y
1206,A075970,K
1207,A076080,K
1208,A076610,K
1209,A077360,K
1210,A077500,Y
1211,A077970,Y
1212,A078000,Y
1213,A078020,K
1214,A078070,K
1215,A078130,K
1216,A078140,K
1217,A078150,K
1218,A078160,K
1219,A078340,K
1220,A078350,K
1221,A078520,Y
1222,A078590,K
1223,A078600,K
1224,A078650,K
1225,A078860,K
1226,A078890,K
1227,A078930,Y
1228,A078940,K
1229,A079000,K
1230,A079160,Y
1231,A079170,K
1232,A079190,K
1233,A079370,K
1234,A079430,Y
1235,A079550,Y
1236,A079650,K
1237,A079810,K
1238,A079940,K
1239,A079950,K
1240,A079960,K
1241,A079970,K
1242,A079980,Y
1243,A080000,K
1244,A080010,K
1245,A080160,K
1246,A080220,K
1247,A080420,K
1248,A080470,K
1249,A080520,K
1250,A080530,K
1251,A080580,K
1252,A080720,K
1253,A081000,Y
1254,A081150,K
1255,A081580,K
1256,A081660,Y
1257,A082210,K
1258,A082270,K
1259,A082640,Y
1260,A082660,K
1261,A082740,Y
1262,A082800,K
1263,A082850,K
1264,A082920,K
1265,A083310,K
1266,A083420,Y
1267,A083450,K
1268,A083470,K
1269,A083500,K
1270,A083550,K
1271,A083640,K
1272,A083650,K
1273,A083660,K
1274,A083790,K
1275,A083930,K
1276,A084010,Y
1277,A084110,K
1278,A084180,K
1279,A084370,K
1280,A084440,K
1281,A084650,K
1282,A084670,Y
1283,A084680,Y
1284,A084690,Y
1285,A084730,K
1286,A084850,K
1287,A084870,Y
1288,A084990,K
1289,A085310,Y
1290,A085370,K
1291,A085620,Y
1292,A085660,K
1293,A085670,K
1294,A085810,K
1295,A085910,K
1296,A086040,K
1297,A086060,K
1298,A086280,Y
1299,A086390,K
1300,A086450,K
1301,A086520,K
1302,A086670,K
1303,A086710,K
1304,A086790,Y
1305,A086820,K
1306,A086890,K
1307,A086900,K
1308,A086960,K
1309,A086980,K
1310,A087010,K
1311,A087260,K
1312,A087600,K
1313,A088130,K
1314,A088260,Y
1315,A088290,K
1316,A088350,Y
1317,A088390,K
1318,A088790,Y
1319,A088800,K
1320,A088910,K
1321,A088980,Y
1322,A089010,K
1323,A089030,K
1324,A089140,K
1325,A089150,K
1326,A089230,K
1327,A089470,Y
1328,A089530,K
1329,A089590,Y
1330,A089600,K
1331,A089790,K
1332,A089850,K
1333,A089860,Y
1334,A089890,K
1335,A089970,K
1336,A089980,K
1337,A090080,Y
1338,A090150,K
1339,A090350,Y
1340,A090360,K
1341,A090370,Y
1342,A090410,K
1343,A090430,Y
1344,A090460,K
1345,A090470,K
1346,A090710,K
1347,A090850,K
1348,A091090,Y
1349,A091120,K
1350,A091340,K
1351,A091440,K
1352,A091580,K
1353,A091590,K
1354,A091700,K
1355,A091810,Y
1356,A091970,K
1357,A091990,K
1358,A092040,K
1359,A092070,K
1360,A092130,K
1361,A092190,K
1362,A092200,Y
1363,A092220,Y
1364,A092230,Y
1365,A092300,K
1366,A092440,Y
1367,A092460,K
1368,A092600,K
1369,A092730,K
1370,A092780,Y
1371,A092870,K
1372,A093050,Y
1373,A093190,K
1374,A093230,Y
1375,A093240,Y
1376,A093320,K
1377,A093370,Y
1378,A093380,K
1379,A093520,K
1380,A093640,K
1381,A093920,K
1382,A094170,K
1383,A094280,Y
1384,A094360,K
1385,A094480,K
1386,A094800,Y
1387,A094820,K
1388,A094840,K
1389,A094850,K
1390,A094860,K
1391,A094940,K
1392,A094970,K
1393,A095190,K
1394,A095270,K
1395,A095340,K
1396,A095500,K
1397,A095570,Y
1398,A095610,K
1399,A095660,K
1400,A095700,K
1401,A095720,Y
1402,A095910,K
1403,A096040,K
1404,A096240,K
1405,A096300,Y
1406,A096350,K
1407,A096530,K
1408,A096610,K
1409,A096630,K
1410,A096640,K
1411,A096690,K
1412,A096760,Y
1413,A096770,Y
1414,A096870,K
1415,A097230,Y
1416,A097520,Y
1417,A097780,K
1418,A097800,K
1419,A097870,K
1420,A097950,Y
1421,A098120,K
1422,A098460,K
1423,A098660,K
1424,A099190,K
1425,A099220,K
1426,A099320,K
1427,A099390,K
1428,A099410,K
1429,A099430,K
1430,A099440,K
1431,A099520,K
1432,A099750,K
1433,A100030,K
1434,A100090,K
1435,A100120,K
1436,A100130,K
